Battery_Voltage_(Lead-acid)_(V),Motor_Temperature,Motor_RPM,Range_(km),Tyre_Pressure_(psi),Brake_Fluid_(%),Coolant_Level_(%),Lubricant_Level_(%),Maintenance_Needed_(Area)
12.67,82.72,2804,264,30.66,80,70,87,Brake System and Lubrication
12.54,77.67,3268,290,36.97,69,75,86,Motor and Tyres
12.18,81.48,2951,269,31.35,75,70,85,Tyres and Brake System
12.43,77.02,3069,290,33.57,78,62,88,Battery
12.87,80.11,2884,294,36.38,78,67,81,No Maintenance Required
12.33,81.73,3223,287,33.64,61,62,78,Tyres
12.17,76.49,3276,286,32.94,79,61,82,No Maintenance Required
12.52,84.67,2928,257,36.52,78,70,82,Motor and Lubrication
12.8,78.18,3185,288,34.51,65,61,85,Tyres
12.15,75.7,3169,259,33.57,61,66,78,Tyres and Brake System
12.23,80.7,3152,299,31.44,72,74,85,Brake System and Lubrication
12.85,75.59,2820,252,34.19,67,66,87,Tyres
12.29,77.59,2910,268,33.7,69,73,78,Brake System and Lubrication
12.31,80.12,2948,286,31.66,62,63,82,Tyres
12.74,77.09,2858,266,31.95,73,63,79,Tyres and Brake System
12.54,78.03,2844,285,31.24,76,60,87,No Maintenance Required
12.51,78.92,2833,250,35.52,77,72,82,Tyres and Lubrication
12.34,77.81,3149,281,34.26,66,73,78,Motor and Tyres
12.62,81.51,3273,300,30.11,78,65,89,Motor and Tyres
12.13,79.6,3257,252,31.02,73,62,83,No Maintenance Required
12.36,79.04,2882,286,32.2,78,67,83,Tyres and Lubrication
12.44,83.56,2812,280,31.88,65,63,89,Tyres and Lubrication
12.66,76.06,2826,256,34.18,75,72,82,Tyres and Brake System
12.43,82.03,3272,250,33.77,67,65,81,Tyres and Brake System
12.54,82.35,3204,294,35.31,63,73,79,Tyres and Brake System
12.59,78.89,2998,270,35.19,80,70,83,Battery
12.84,76.78,2925,281,31.6,61,67,90,No Maintenance Required
12.74,82.14,3258,264,36.57,76,69,85,Battery
12.18,79.55,3230,289,34.79,79,74,90,Brake System and Lubrication
12.54,77.7,3018,255,31.15,68,71,90,Tyres and Lubrication
12.82,77.3,3136,279,30.95,67,75,86,Tyres and Brake System
12.56,79.43,2909,272,34.03,62,71,87,Tyres and Brake System
12.84,80.96,2969,276,36.04,78,75,79,Tyres and Lubrication
12.54,79.16,2821,282,32.45,65,74,84,Tyres
12.51,83.96,2920,259,36.15,67,71,83,No Maintenance Required
12.29,78.97,3141,294,36.58,63,65,90,No Maintenance Required
12.58,75.02,2962,262,36.62,73,70,81,Tyres and Brake System
12.25,84.96,3082,265,30.45,70,67,85,Tyres and Lubrication
12.82,77.09,2859,289,36.78,79,62,79,Motor and Lubrication
12.27,83.04,3156,290,34.56,74,75,90,Motor and Tyres
12.75,81.4,3039,275,34.37,73,71,89,Tyres
12.45,79.24,2824,278,32.88,75,63,85,Motor and Tyres
12.64,77.11,3122,292,32.77,70,67,84,Tyres
12.23,82.89,3267,264,34.89,72,67,86,Tyres
12.59,77.96,3264,284,32.72,70,62,89,Motor and Lubrication
12.87,77.19,3215,285,33.59,79,62,79,Tyres and Lubrication
12.18,77.78,3054,277,32.61,79,67,85,Tyres and Brake System
12.88,78.34,2910,253,31.61,76,73,84,Motor and Tyres
12.65,81.3,3192,267,36.72,69,68,79,Battery
12.19,83.8,3087,283,32.86,78,74,86,Motor and Tyres
12.39,83.34,2804,283,34.85,63,71,83,Brake System and Lubrication
12.16,81.7,3044,275,31.28,64,69,81,Brake System and Lubrication
12.49,76.05,3059,290,31.94,73,64,89,Tyres and Lubrication
12.66,77.79,2993,288,33.3,62,70,88,Tyres
12.5,79.69,3110,265,33.27,72,72,88,Tyres
12.62,83.21,2930,268,33.22,78,71,88,Motor and Lubrication
12.37,80.9,3166,276,36.6,66,72,83,Tyres and Brake System
12.87,77.33,3125,259,31.11,67,61,84,Brake System and Lubrication
12.49,77.27,3122,273,32.49,72,60,89,Motor and Tyres
12.11,80.98,3080,267,34.3,73,67,88,Battery
12.19,77.19,3161,288,32.82,70,60,81,No Maintenance Required
12.38,78.06,2934,269,30.95,70,72,78,Tyres and Brake System
12.5,77.79,3273,263,34.07,73,61,86,Tyres and Brake System
12.14,75.72,2863,296,30.02,71,72,81,Motor and Lubrication
12.26,80.99,2978,288,33.56,65,73,82,Motor and Tyres
12.62,76.01,2848,257,34.35,67,72,87,Motor and Tyres
12.4,76.78,2970,265,35.13,60,72,81,Motor and Tyres
12.54,79.42,3139,285,35.3,70,62,90,Motor and Lubrication
12.44,83.23,3114,289,36.03,74,73,78,Motor and Lubrication
12.82,84.41,3052,286,33.14,75,63,84,No Maintenance Required
12.19,83.18,3232,273,30.63,60,62,78,Motor and Tyres
12.27,81.4,3007,272,33.42,62,75,90,Tyres
12.72,83.41,3039,288,34.32,76,75,78,Tyres
12.53,75.6,2801,267,36.42,70,61,82,Motor and Tyres
12.11,84.04,2885,299,33.48,67,70,79,Tyres and Lubrication
12.62,75.94,2849,299,33.9,62,74,90,Motor and Tyres
12.31,84.35,3004,287,33.92,60,63,88,Brake System and Lubrication
12.73,84.45,3205,277,34.28,61,69,81,Tyres and Brake System
12.69,80.59,3034,298,35.24,71,74,88,Motor and Tyres
12.52,75.56,3103,279,30.06,80,68,84,Motor and Lubrication
12.54,85.0,3221,284,35.48,80,73,79,Tyres and Lubrication
12.53,79.62,3130,250,32.62,69,63,86,No Maintenance Required
12.26,75.4,3081,274,30.84,60,62,78,Motor and Tyres
12.64,83.48,2825,298,33.25,80,64,84,Battery
12.15,82.22,3203,268,36.77,71,70,82,Brake System and Lubrication
12.63,83.48,3023,254,35.55,70,68,82,Tyres
12.45,75.99,3114,287,35.84,70,63,79,Brake System and Lubrication
12.85,79.78,2936,293,36.32,65,73,84,Battery
12.73,79.16,2869,261,33.43,73,70,89,Tyres and Brake System
12.28,80.65,3050,296,32.91,65,60,81,Motor and Lubrication
12.22,82.85,3095,286,31.26,65,66,86,No Maintenance Required
12.74,78.16,2812,276,34.8,67,70,78,Brake System and Lubrication
12.77,77.82,3097,288,34.18,72,63,81,Tyres and Lubrication
12.64,77.17,3244,281,31.69,79,61,84,Motor and Lubrication
12.23,76.09,3277,295,33.27,75,74,82,Brake System and Lubrication
12.25,78.74,3011,291,35.99,78,73,86,Tyres and Lubrication
12.51,80.01,2933,260,36.17,67,69,87,Brake System and Lubrication
12.51,78.45,3237,265,35.39,69,70,86,Motor and Tyres
12.18,79.94,3003,275,32.13,79,73,82,No Maintenance Required
12.3,83.83,2984,261,35.74,62,62,83,Brake System and Lubrication
12.44,81.07,2816,262,31.32,72,72,78,Motor and Lubrication
12.24,76.38,3237,253,32.23,65,70,81,Motor and Lubrication
12.59,82.6,3139,285,36.77,60,64,90,Battery
12.79,80.14,3240,280,36.45,71,70,86,Motor and Tyres
12.19,81.77,3269,255,31.29,61,61,78,Tyres and Brake System
12.23,84.7,2808,258,32.7,66,63,82,Tyres and Brake System
12.81,75.79,3154,285,32.25,62,67,90,No Maintenance Required
12.57,81.36,2850,295,34.0,64,65,88,Tyres and Lubrication
12.29,76.38,2828,263,34.54,68,61,85,No Maintenance Required
12.58,79.12,3189,278,30.66,78,62,90,Battery
12.51,78.77,3289,273,34.88,78,69,88,No Maintenance Required
12.58,83.98,2922,296,35.36,65,68,81,Tyres and Brake System
12.32,83.58,2985,258,35.81,63,73,79,Tyres
12.41,84.78,3181,279,33.17,65,74,84,Battery
12.41,80.7,2897,262,36.06,80,68,83,Motor and Lubrication
12.77,81.93,3005,299,31.23,75,71,82,No Maintenance Required
12.44,79.01,2929,251,32.54,68,67,90,Motor and Lubrication
12.74,82.0,3119,291,31.28,66,73,79,Tyres and Brake System
12.6,82.65,3191,289,32.15,60,69,81,Motor and Tyres
12.85,83.83,3085,277,30.55,72,73,78,Tyres and Lubrication
12.71,80.1,3098,264,34.17,67,65,84,Tyres
12.15,81.65,3128,286,33.17,74,68,79,Tyres and Brake System
12.25,75.72,3212,274,33.31,67,68,83,Tyres
12.83,77.01,2976,292,35.47,65,65,84,Brake System and Lubrication
12.8,79.59,2967,292,32.83,73,75,79,No Maintenance Required
12.7,75.27,2846,258,36.92,65,68,84,Brake System and Lubrication
12.33,81.65,2967,265,36.39,61,75,83,Tyres and Brake System
12.77,81.81,2972,293,30.84,65,61,82,Tyres
12.57,77.25,3040,253,33.47,66,75,88,Motor and Tyres
12.79,78.95,2846,276,32.39,70,72,90,No Maintenance Required
12.28,81.44,3163,294,34.48,70,63,82,Motor and Tyres
12.44,77.31,3108,263,34.63,65,69,80,Motor and Lubrication
12.68,76.31,3145,275,30.92,80,63,87,Tyres
12.46,75.88,3056,258,30.97,67,66,79,Brake System and Lubrication
12.67,75.52,2800,255,36.4,74,65,81,Brake System and Lubrication
12.24,79.99,2983,281,32.16,71,72,78,Brake System and Lubrication
12.41,84.08,3194,277,32.29,75,69,81,Motor and Lubrication
12.53,80.7,2855,250,31.02,73,71,80,Tyres and Lubrication
12.65,80.79,3224,286,34.87,80,66,82,Tyres and Brake System
12.84,78.81,3030,251,33.01,71,67,83,No Maintenance Required
12.73,84.67,2911,275,34.31,79,64,85,Motor and Tyres
12.49,83.21,3175,250,30.01,69,74,87,Motor and Lubrication
12.66,84.34,2971,259,31.81,73,72,81,Brake System and Lubrication
12.48,83.01,2895,255,35.05,61,62,90,Tyres
12.84,83.24,3262,255,32.63,79,61,88,Brake System and Lubrication
12.5,82.41,3216,252,34.24,75,67,87,Tyres and Lubrication
12.62,76.44,2908,272,31.19,68,66,85,Motor and Lubrication
12.41,78.45,3067,252,34.04,65,75,78,Brake System and Lubrication
12.27,79.69,2944,263,36.19,68,63,85,Tyres and Lubrication
12.38,76.39,2844,252,31.2,73,63,83,Tyres and Brake System
12.46,75.53,3023,257,35.59,76,66,88,Brake System and Lubrication
12.86,83.88,3281,300,33.77,73,66,84,Tyres and Lubrication
12.64,75.31,3087,291,35.01,61,69,82,Tyres
12.78,81.75,3148,285,36.52,62,75,78,No Maintenance Required
12.45,77.88,3285,300,35.3,79,73,87,Tyres and Lubrication
12.57,78.32,2812,252,32.62,62,68,82,No Maintenance Required
12.55,79.7,2934,276,30.96,63,61,79,Motor and Tyres
12.5,82.69,3001,270,34.09,62,65,80,Motor and Tyres
12.88,84.66,3014,279,32.09,72,68,79,No Maintenance Required
12.54,80.06,3119,281,34.66,73,67,78,Brake System and Lubrication
12.76,75.05,3125,269,32.54,63,61,89,Motor and Lubrication
12.26,81.2,3256,274,34.32,71,71,87,Tyres
12.23,83.04,3199,256,33.41,79,75,87,Tyres and Lubrication
12.44,79.14,2987,300,34.74,60,64,84,Tyres and Brake System
12.74,76.88,3002,257,30.8,79,60,84,Tyres and Lubrication
12.69,76.88,2922,298,32.59,61,69,79,Tyres and Lubrication
12.3,81.71,2959,257,33.29,67,61,80,Tyres and Lubrication
12.81,83.19,2913,275,33.2,77,73,85,Tyres and Brake System
12.83,76.94,2920,270,32.46,68,68,85,Tyres and Brake System
12.71,84.94,2866,288,31.08,78,63,85,Tyres
12.56,84.13,3071,267,30.09,62,68,82,No Maintenance Required
12.83,76.46,2941,285,36.65,72,60,89,Motor and Lubrication
12.55,84.01,3104,290,36.76,61,71,88,Motor and Tyres
12.72,79.05,2976,266,31.56,70,66,82,Tyres and Lubrication
12.15,80.74,3032,259,34.39,79,60,88,Battery
12.63,79.14,3297,299,32.21,63,66,90,Motor and Tyres
12.23,78.73,2901,278,34.55,69,74,90,Tyres and Lubrication
12.21,75.08,2996,258,32.1,72,71,78,Tyres and Brake System
12.1,78.58,2901,298,34.03,77,74,85,Tyres and Brake System
12.71,82.68,3254,268,34.58,72,73,89,Battery
12.81,79.14,3097,277,32.73,71,74,90,Motor and Tyres
12.29,80.85,2805,258,31.59,68,64,82,Motor and Tyres
12.48,84.89,2814,252,34.57,71,64,80,Motor and Tyres
12.19,76.51,3200,256,35.48,78,68,88,Tyres
12.68,81.51,3243,263,30.1,69,73,82,Tyres and Lubrication
12.53,84.67,3290,251,31.29,66,70,78,Tyres and Lubrication
12.4,80.01,2980,257,36.05,79,61,80,Tyres and Brake System
12.86,84.54,3083,288,34.15,76,61,85,Tyres and Brake System
12.7,79.46,2947,288,32.46,67,66,81,Motor and Lubrication
12.63,79.37,3029,261,31.3,61,69,83,Tyres and Brake System
12.69,81.81,3222,291,34.12,61,71,86,Tyres
12.54,76.52,3018,261,31.68,79,63,78,Tyres and Lubrication
12.62,76.51,2990,257,30.97,63,60,85,Battery
12.41,83.43,2866,300,36.62,61,65,89,No Maintenance Required
12.31,81.62,3149,290,30.43,74,67,81,Battery
12.88,80.5,3189,282,35.57,77,66,86,Tyres
12.37,82.89,3014,295,31.84,74,70,86,Motor and Tyres
12.68,82.4,3115,259,30.1,60,65,86,Tyres
12.6,83.89,3173,266,30.02,78,65,87,Tyres
12.41,83.19,3212,250,35.55,61,68,89,Brake System and Lubrication
12.83,77.45,3120,280,36.56,68,69,81,Motor and Tyres
12.36,84.57,2804,264,34.59,72,74,81,No Maintenance Required
12.36,77.35,3278,298,35.42,63,75,86,Motor and Tyres
12.7,84.9,2998,269,36.62,62,60,87,Motor and Lubrication
12.46,81.58,2973,256,31.61,78,64,87,No Maintenance Required
12.13,83.05,2956,296,30.14,78,65,90,Motor and Tyres
12.82,82.94,3046,268,31.0,65,66,82,No Maintenance Required
12.57,80.71,3028,298,32.73,67,64,83,No Maintenance Required
12.9,83.49,3022,288,35.82,63,60,86,Motor and Lubrication
12.23,77.47,3268,261,32.07,75,68,81,No Maintenance Required
12.65,81.99,3066,275,30.97,72,60,86,Brake System and Lubrication
12.18,78.94,3260,300,35.38,65,64,84,Tyres and Lubrication
12.1,84.63,3149,263,36.2,68,70,78,Tyres and Brake System
12.61,82.14,3013,266,36.34,75,65,88,Battery
12.62,76.0,2923,300,31.99,71,71,87,Battery
12.22,79.08,3027,256,34.81,76,74,84,Brake System and Lubrication
12.15,82.96,2942,279,35.56,76,70,83,Motor and Lubrication
12.39,76.9,2822,299,31.91,71,66,90,Battery
12.52,78.43,2904,253,30.35,64,72,79,Motor and Tyres
12.84,82.85,3116,291,31.67,62,71,80,Tyres and Brake System
12.83,80.88,3292,265,36.98,63,74,78,Tyres
12.17,81.4,2941,277,30.12,72,64,85,No Maintenance Required
12.4,76.46,3187,300,35.23,77,64,82,Tyres
12.73,77.03,2821,251,35.42,79,60,79,Battery
12.76,75.42,2907,261,32.18,79,60,86,Motor and Lubrication
12.89,75.26,2957,292,35.24,78,73,87,Motor and Tyres
12.62,75.49,3100,282,31.23,76,75,90,Brake System and Lubrication
12.13,84.69,3281,287,30.5,65,62,78,Battery
12.84,81.11,2872,253,31.21,80,64,79,Battery
12.27,75.66,2973,294,35.6,69,60,90,Brake System and Lubrication
12.59,82.01,2947,280,32.18,78,72,83,Battery
12.34,77.17,2991,262,35.36,75,65,81,No Maintenance Required
12.26,81.27,3082,297,32.96,74,68,85,Battery
12.43,77.55,3168,264,35.84,80,61,84,Brake System and Lubrication
12.81,79.59,3240,293,30.29,79,70,78,Motor and Lubrication
12.2,81.94,3117,255,30.65,67,63,79,Battery
12.34,76.4,3116,284,31.29,71,64,84,Motor and Lubrication
12.19,82.37,3115,257,36.63,63,75,84,No Maintenance Required
12.67,77.84,3141,258,32.69,62,70,89,No Maintenance Required
12.51,78.76,2918,260,34.27,77,64,86,Battery
12.8,84.02,3078,267,34.86,72,74,90,No Maintenance Required
12.9,78.81,3236,292,36.4,75,62,86,Battery
12.35,80.78,3125,286,30.08,68,62,90,No Maintenance Required
12.67,78.38,2824,267,30.54,77,62,87,Motor and Lubrication
12.47,75.5,3058,258,35.07,78,61,86,Battery
12.49,84.72,2858,251,33.58,77,66,90,Brake System and Lubrication
12.63,76.9,2999,267,36.06,69,68,83,No Maintenance Required
12.17,76.15,2983,251,34.2,61,74,86,Tyres
12.79,76.18,2932,267,34.65,71,71,85,Brake System and Lubrication
12.73,82.27,2849,274,33.7,80,72,86,Tyres and Brake System
12.32,79.48,3161,291,32.79,76,65,88,Tyres and Lubrication
12.22,81.33,2880,267,33.37,78,73,88,No Maintenance Required
12.23,78.89,3233,298,35.98,60,69,90,Motor and Lubrication
12.8,75.07,3242,283,31.27,62,72,83,Tyres and Brake System
12.53,79.76,3220,294,35.26,72,66,81,Brake System and Lubrication
12.38,80.46,3258,270,30.54,77,63,86,Tyres and Lubrication
12.89,80.68,2935,257,30.03,65,65,88,Brake System and Lubrication
12.65,77.33,3110,255,36.45,60,72,79,No Maintenance Required
12.59,81.1,2802,283,32.32,63,73,88,Brake System and Lubrication
12.76,79.69,3162,265,35.66,70,64,90,No Maintenance Required
12.22,77.72,3206,260,36.37,76,68,83,Motor and Lubrication
12.57,84.16,2836,273,35.69,75,64,84,Brake System and Lubrication
12.55,83.4,3153,264,30.35,65,67,88,Motor and Lubrication
12.22,78.94,2989,297,31.21,78,72,81,Tyres and Brake System
12.82,84.42,2813,281,30.02,70,71,89,Tyres and Brake System
12.3,82.94,3003,251,30.59,75,74,84,No Maintenance Required
12.68,80.25,3130,281,34.82,64,70,79,Tyres
12.12,77.47,3073,299,30.62,64,65,86,No Maintenance Required
12.24,80.35,3079,299,31.74,66,64,87,Brake System and Lubrication
12.14,82.16,3228,293,33.74,65,69,88,No Maintenance Required
12.6,77.44,2862,269,31.99,61,72,85,Tyres and Lubrication
12.38,82.59,3135,263,33.29,79,68,90,Battery
12.27,81.05,3291,251,36.65,65,71,80,Motor and Tyres
12.89,77.91,3076,276,36.92,66,75,88,Motor and Lubrication
12.8,82.73,3012,278,33.03,70,73,83,Tyres and Brake System
12.66,79.46,2974,281,35.82,76,61,79,No Maintenance Required
12.5,78.64,3086,266,35.55,72,68,81,Tyres and Lubrication
12.7,75.06,2884,294,32.73,74,66,89,Tyres
12.49,77.79,2831,255,36.77,61,71,82,Brake System and Lubrication
12.48,78.84,2985,265,32.33,75,68,84,Tyres and Brake System
12.57,75.44,3263,297,31.18,64,61,89,Battery
12.83,84.86,2842,265,31.41,67,74,81,Brake System and Lubrication
12.2,78.71,2819,298,33.84,71,69,83,Motor and Lubrication
12.82,76.49,3167,259,33.57,67,74,82,Motor and Lubrication
12.14,82.09,3117,287,32.48,61,74,87,Battery
12.13,81.18,2952,251,32.73,66,66,84,Brake System and Lubrication
12.48,82.16,3032,284,31.12,67,62,85,Motor and Tyres
12.39,77.26,2874,300,34.39,74,70,78,Brake System and Lubrication
12.34,80.49,3144,256,33.81,60,70,89,Tyres and Lubrication
12.54,82.87,2897,281,34.4,76,65,78,Motor and Tyres
12.76,75.89,2908,267,32.0,70,60,87,Brake System and Lubrication
12.55,80.92,3061,259,31.65,80,61,85,Tyres and Lubrication
12.74,82.66,3207,287,32.37,63,68,80,Battery
12.47,77.64,2890,267,34.86,79,70,88,Tyres and Brake System
12.25,81.44,2985,278,31.23,72,74,87,Tyres and Lubrication
12.1,84.96,3038,270,31.73,72,61,83,Motor and Tyres
12.15,80.03,3281,290,31.46,80,66,84,No Maintenance Required
12.42,77.56,3210,254,35.99,68,69,78,Motor and Tyres
12.61,75.98,3065,268,36.52,71,75,90,Brake System and Lubrication
12.71,80.29,3256,260,34.99,76,72,87,No Maintenance Required
12.53,82.11,2836,297,32.99,79,69,80,Tyres
12.82,79.71,2997,297,32.64,75,60,82,Motor and Lubrication
12.59,75.58,3024,258,36.97,62,67,86,Tyres and Lubrication
12.43,77.17,3232,263,36.34,65,74,86,Tyres and Lubrication
12.8,80.52,2852,265,30.28,65,71,86,Motor and Tyres
12.81,77.69,2931,299,33.21,68,61,90,Battery
12.36,81.09,2897,271,32.7,60,65,79,Brake System and Lubrication
12.16,76.8,3157,265,30.74,61,72,78,Tyres
12.37,77.9,3003,279,36.75,77,70,79,Battery
12.15,79.19,3102,270,31.23,70,60,84,Motor and Lubrication
12.72,80.46,2998,277,33.14,80,75,79,Tyres and Brake System
12.46,81.22,3106,276,30.1,63,74,90,Motor and Lubrication
12.75,81.66,3184,270,31.08,73,60,86,Tyres
12.16,77.59,3287,274,33.28,72,67,81,No Maintenance Required
12.65,84.9,3112,278,36.86,63,64,87,Motor and Lubrication
